sku,mpid,veeqo_qty,last_sent_qty,update_needed,status,message,last_run_time
VM-11-1003,177264,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VM-11-1003X2,180261,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VM-11-11049,180259,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-11-11049X2,180260,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VM-112-0291,180258,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-112-0291X4,180252,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-112-0292,180254,25,25,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-112-0292X4,180251,4,4,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-112-0293,180256,32,32,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VM-112-0293X4,180255,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-112-0294,180257,16,16,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-112-0294X4,180253,2,2,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-11-50033-BL,177256,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-11-50033-BLX3,179991,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-11-50033-PK,177232,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-11-50033-PKX3,179992,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-11-50033-PR,177231,4,4,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VM-11-50033-PRX3,179993,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMSSAT20,189049,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMSSAT20X2,180263,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-12-0011B,179981,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-12-0011Y,179982,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMSCDP10,183656,73,73,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM12PGS4X4X200,179985,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM12PGS4X4X200X10,179987,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM130101-L,183758,34,34,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM130101-M,183760,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM130101-S,183759,14,14,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM-14-001,183761,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VM-14-002,183762,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VM1MLSLSWNX1X100,177226,3547,3547,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VM1MLSLSWNX1X100X2,179999,96,96,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VM1SN23GX1X100,177227,993,993,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM1SN23GX1X100X2,180000,333,333,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM1SN23GX1X100X20,177228,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VM1SN25GX1X100,177229,997,997,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VM1SN25GX1X100X2,180005,333,333,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VM1SN25GX1X100X20,177230,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VM4PGS2X2X200,183646,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM4PGS4X4X200,183647,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM5IN1PPTB26,193504,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM8PGS2X2X200,179988,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM8PGS2X2X200X25,179990,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM8PGS2X2X200X5,179989,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VM8PGS3X3X200,180008,127,127,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VM8PGS3X3X200X25,180015,15,15,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VM9501MSK20,176626,998,998,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAATBB01,189004,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAATBP01,189005,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAHVS50,183674,365,365,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPHSTK100BR72,183763,23,23,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMAPP20200,177326,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPP25200,177327,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
