sku,mpid
VM-11-1003,177264
VM-11-1003X2,180261
VM-11-11049,180259
VM-11-11049X2,180260
VM-112-0291,180258
VM-112-0291X4,180252
VM-112-0292,180254
VM-112-0292X4,180251
VM-112-0293,180256
VM-112-0293X4,180255
VM-112-0294,180257
VM-112-0294X4,180253
VM-11-50033-BL,177256
VM-11-50033-BLX3,179991
VM-11-50033-PK,177232
VM-11-50033-PKX3,179992
VM-11-50033-PR,177231
VM-11-50033-PRX3,179993
VMSSAT20,189049
VMSSAT20X2,180263
VM-12-0011B,179981
VM-12-0011Y,179982
VMSCDP10,183656
VM12PGS4X4X200,179985
VM12PGS4X4X200X10,179987
VM130101-L,183758
VM130101-M,183760
VM130101-S,183759
VM-14-001,183761
VM-14-002,183762
VM1MLSLSWNX1X100,177226
VM1MLSLSWNX1X100X2,179999
VM1SN23GX1X100,177227
VM1SN23GX1X100X2,180000
VM1SN23GX1X100X20,177228
VM1SN25GX1X100,177229
VM1SN25GX1X100X2,180005
VM1SN25GX1X100X20,177230
VM4PGS2X2X200,183646
VM4PGS4X4X200,183647
VM5IN1PPTB26,193504
VM8PGS2X2X200,179988
VM8PGS2X2X200X25,179990
VM8PGS2X2X200X5,179989
VM8PGS3X3X200,180008
VM8PGS3X3X200X25,180015
VM9501MSK20,176626
VMAATBB01,189004
VMAATBP01,189005
VMAHVS50,183674
VMAPHSTK100BR72,183763
VMAPP20200,177326
VMAPP25200,177327
VMAPP30200,177328
VMAPP35200,177329
VMAPP40200,177237
VMAPP45200,177330
VMAPP50200,177238
VMAPP55200,177331
VMAPP60200,177239
VMAPP70200,177240
VMAPP80200,177241
VMAPPMIX200,177233
VMAPTKB15X12,189007
VMAPTKB15X12,189007
VMAPTKB15X12X5,180335
VMAPTKBR12X12,189009
VMAPTKBR12X12,189009
VMAPTKBR12X12X5,180336
VMAPTKR15X12,183764
VMAPTNB20X12,189010
VMAPTNB20X12X5,180337
VMAPTNB20X12,189010
VMAPTNR20X12,189011
VMAPTNR20X12X5,180338
VMAPTNR20X12,189011
VMASPB25,189006
VMASPG25,176765
VMASPW25,176766
VMAWSM250,177236
VMAWSPMC250,177235
VMAWSSSMC250,189013
VMAWSW250,183767
VMBFB12K4X6,177301
VMBFB12K4X6X8,177309
VMBFBK12K4X6,183637
VMBFC12K4X6,183640
VMBFG12K4X6,183641
VMBFP12K4X6,183638
VMBFPR12K4X6,183639
VMBIBHLD250,189008
VMBW2CH15,183768
VMC24CSS500,183680
VMC2724HC225,183676
VMC2980FC125,183677
VMC802MSS500,180333
VMC802MSS500X3,180334
VMC82CSS500,180331
VMC82CSS500X3,180332
VMCAPB35GB50,183681
VMCAPB35GB50X20,193508
VMCAPB35GB50X3,193509
VMCAPNWB100,177266
VMCAPNWBK100,193510
VMCAPNWP100,193511
VMCAPNWWH100,193512
VMCATBB01,189015
VMCATBP01,189017
VMCATBY01,189018
VMCC19GB100,183661
VMCCI454,177323
VMCHVS50,183675
VMCP5ZB1K,176748
VMCP5ZG1K,176747
VMCP5ZP1K,176749
VMCPEAPN10,177268
VMCPEAPN100,177269
VMCRM400X20B,177315
VMCRM50X20B,177314
VMCS50X12CC,177299
VMCST1003X10,183657
VMCST1006X10,183658
VMDMIRG45X100,183593
VMDMIRP45X100,183594
VMDMIRPP45X100,183597
VMDMIRSB45X100,183587
VMDMIRSG45X100,183591
VMDMIRSP45X100,183588
VMDMIRSPP45X100,183592
VMDMIRSW45X100,183589
VMDMIRSY45X100,183590
VMDMIRW45X100,183595
VMDMIRY45X100,183596
VMEC25GB100,183665
VMELLSCMSKBK50,176623
VMELMSCMSKBK50,176622
VMFBDSP01,177302
VMFELSMSKB50SL3,176627
VMFTLB100,183667
VMFTMY100,183668
VMFTSG100,183669
VMGGA01PC,189014
VMGGB01PC,176768
VMGGB0201B,189016
VMGGB0201W,189019
VMGLBLN100,176574
VMGLBLN100X10,176579
VMGLBMN100,176573
VMGLBMN100X10,176578
VMGLBSN100,176571
VMGLBSN100X10,176576
VMGLBXLN100,176575
VMGLBXLN100X10,176580
VMGLBKLN100,183605
VMGLBKMN100,183606
VMGLBKSN100,183607
VMGLBKXLN100,183608
VMGLBKXSN100,183609
VMGLBLN100,176574
VMGLBLN100X10,176579
VMGLBLN10X200,177317
VMGLBLN200,177316
VMGLBMN100,176573
VMGLBMN100X10,176578
VMGLBSN100,176571
VMGLBSN100X10,176576
VMGLBXLN100,176575
VMGLBXLN100X10,176580
VMGLBXLN10X200,177319
VMGLBXLN200,177318
VMGLBXSN100,176572
VMGLBXSN100X10,176577
VMGLPLN100,183614
VMGLPMN100,183615
VMGLPR3LN100,183628
VMGLPR3MN100,183629
VMGLPR3SN100,183630
VMGLPR3XLN100,183631
VMGLPR3XSN100,183632
VMGLPSN100,183616
VMGLPXLN100,183617
VMGLPXSN100,183613
VMGLSAP12,176769
VMGP04B3060,189020
VMGP04BK4060,189021
VMGP04G3560,189026
VMGP04MX154060,189467
VMGP04R2560,189025
VMGP04W1560,189023
VMGP04Y2060,189024
VMHAZWF02,189468
VMHRC10X13X500B,183678
VMHRC10X13X500P,183679
VMIBTMLF35,183682
VMIBTMLH35,177304
VMIBTMLH35X3,180329
VMIBTMPS35,183684
VMIBTMPSL35,183683
VMIBTMSF35,177311
VMIBTMSF35X3,180328
VMIGBXL25G10,183670
VMIGBXLPEPP43L210,183671
VMIGYXL25G10,183672
VMIGYXLPEPP43L210,183673
VMIMG1P1-2:1,177310
VMIMG1P4-10:1,177254
VMIMTLL12,189031
VMIMTLU12,189030
VMIMTML12,189029
VMIMTMU12,189032
VMIMTSL12,189034
VMIMTSU12,189033
VMIMTUL-LR12,189022
VMIMTUR-LL12,189027
VMIVKT50PC,183685
VMIVKT50PCX2,193505
VMIVKT50PCX4,193506
VMKFSS1021-6,176804
VMKFSS1025-6,176810
VMKFSS1521-6,176805
VMKFSS1525-6,176811
VMKFSS15-40-25,176803
VMKFSS2021-6,176812
VMKFSS2025-6,176813
VMKFSS2521-6,176814
VMKFSS2525-6,176822
VMKFSS3021-6,176815
VMKFSS3025-6,176823
VMKFSS3521-6,176816
VMKFSS3525-6,176824
VMKFSS3531-6,176830
VMKFSS4021-6,176806
VMKFSS4025-6,176802
VMKFSS4521-6,176817
VMKFSS4525-6,176825
VMKFSS5021-6,176818
VMKFSS5025-6,176826
VMKFSS5521-6,176819
VMKFSS5525-6,176831
VMKFSS5531-6,176827
VMKFSS6021-6,176820
VMKFSS6025-6,176828
VMKFSS6031-6,176832
VMKFSS7021-6,176821
VMKFSS7025-6,176829
VMKFSS7031-6,176833
VMKFSS8021-6,176807
VMKFSS8025-6,176808
VMKFSS8031-6,176809
VMKSX250,176635
VMKSX250X2,193507
VMLB18GP100,183662
VMLCBKL40G10,180051
VMLCBKL40G10X5,193540
VMLCBKM40G10,180050
VMLCBKM40G10X5,193539
VMLCBKS40G10,180053
VMLCBKS40G10X5,193538
VMLCBKXL40G10,180052
VMLCBKXL40G10X5,193541
VMLCBL45G10,177274
VMLCBL45G10X5,177275
VMLCBM45G10,177287
VMLCBM45G10X5,177288
VMLCBS45G10,177297
VMLCBS45G10X5,177286
VMLCBXL45G10,177276
VMLCBXL45G10X5,177243
VMLCPL45G10,177277
VMLCPL45G10X5,177293
VMLCPM45G10,177289
VMLCPM45G10X5,177292
VMLCPRL45G10,193542
VMLCPRL45G10X5,193547
VMLCPRM45G10,193544
VMLCPRM45G10X5,193546
VMLCPRS45G10,193543
VMLCPRS45G10X5,193545
VMLCPRXL45G10,193549
VMLCPRXL45G10X5,193550
VMLCPS45G10,177298
VMLCPS45G10X5,177291
VMLCPXL45G10,193548
VMLCPXL45G10X5,177294
VMLJBL45G10X5,193554
VMLJBL45G10,177270
VMLJBM45G10X5,193553
VMLJBM45G10,177283
VMLJBS45G10,193551
VMLJBS45G10X5,193552
VMLJBS45G10,193551
VMLJBXL45G10X5,193555
VMLJBXL45G10,177250
VMLJPL45G10X5,193557
VMLJPL45G10,177273
VMLJPM45G10X5,193556
VMLJPM45G10,177285
VMLJPRL45G10,193562
VMLJPRL45G10X5,193566
VMLJPRM45G10,193561
VMLJPRM45G10X5,193565
VMLJPRS45G10,193560
VMLJPRS45G10X5,193564
VMLJPRXL45G10,193563
VMLJPRXL45G10X5,193567
VMLJPS45G10X5,193558
VMLJPS45G10,177295
VMLJPXL45G10X5,193559
VMLJPXL45G10,177252
VMMABLRG400,177333
VMMABLRG400X2,180040
VMMAGRFN400,177332
VMMAGRFN400X2,180041
VMMAPPUF400,177306
VMMAPPUF400X2,180042
VMMAWTCY400,183666
VMMB4DSP,177513
VMMB4DSPX2,180054
VMMBBL1,183602
VMMBBM1,183604
VMMBBS1,183603
VMMP7X12X50,176754
